Sample in Buffer,Sample in Window,TRIGGER,base_i/system_ila_0/inst/net_slot_0_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_0_axis_tdest,base_i/system_ila_0/inst/net_slot_0_axis_tid,base_i/system_ila_0/inst/net_slot_0_axis_tkeep[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tstrb[2:0],base_i/system_ila_0/inst/net_slot_0_axis_tuser,base_i/system_ila_0/inst/net_slot_0_axis_tvalid,base_i/system_ila_0/inst/net_slot_0_axis_tready,base_i/system_ila_0/inst/net_slot_0_axis_tlast,base_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],base_i/system_ila_0/inst/net_slot_1_axis_tdest,base_i/system_ila_0/inst/net_slot_1_axis_tid,base_i/system_ila_0/inst/net_slot_1_axis_tuser,base_i/system_ila_0/inst/net_slot_1_axis_tvalid,base_i/system_ila_0/inst/net_slot_1_axis_tready,base_i/system_ila_0/inst/net_slot_1_axis_tlast,base_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],base_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],base_i/system_ila_0/inst/net_slot_2_axis_tvalid,base_i/system_ila_0/inst/net_slot_2_axis_tready,base_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],Interface_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],Interface_(i1:s2)_(Conn)[2:0],T_Channel_(i1:s0)_(v_tpg_test_0_m_axis_video)[2:0],T_Channel_(i1:s1)_(axis_switch_in_M00_AXIS)[2:0],T_Channel_(i1:s2)_(Conn)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
825,825,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
826,826,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
827,827,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
828,828,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
829,829,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
830,830,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
831,831,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
832,832,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
833,833,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
834,834,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
835,835,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
836,836,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
837,837,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
838,838,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
839,839,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
840,840,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
841,841,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
842,842,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
843,843,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
844,844,0,6bff1d,0,0,7,0,0,1,1,0,6bff1d,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
845,845,0,6b6b1d,0,0,7,0,0,1,1,0,6b6b1d,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
846,846,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
847,847,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
848,848,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
849,849,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
850,850,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
851,851,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
852,852,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
853,853,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
854,854,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
855,855,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
856,856,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,1d6bff1d,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
857,857,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,ff1d6b6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
858,858,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
859,859,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,6b6b1d6b,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
860,860,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
861,861,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
862,862,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
863,863,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
864,864,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
865,865,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
866,866,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
867,867,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
868,868,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
869,869,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
870,870,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
871,871,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
872,872,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
873,873,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
874,874,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
875,875,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
876,876,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
877,877,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
878,878,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
879,879,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
880,880,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
881,881,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
882,882,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
883,883,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
884,884,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
885,885,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
886,886,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
887,887,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
888,888,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
889,889,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
890,890,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
891,891,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
892,892,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
893,893,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
894,894,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
895,895,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
896,896,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
897,897,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
898,898,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
899,899,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
900,900,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
901,901,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
902,902,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
903,903,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
904,904,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
905,905,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
906,906,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
907,907,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
908,908,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
909,909,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
910,910,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
911,911,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
912,912,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
913,913,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
914,914,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
915,915,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
916,916,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
917,917,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
918,918,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
919,919,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
920,920,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
921,921,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
922,922,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
923,923,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
924,924,0,808000,0,0,7,0,0,1,1,0,808000,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
925,925,0,808000,0,0,7,0,0,1,1,1,808000,0,0,0,1,1,1,80008080,0,f,1,1,0,"Active","Active","Active","Last Stream","Last Stream","Stream Beat"
926,926,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,1,1,0,"_","_","Active","_","_","Stream Beat"
927,927,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
928,928,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,00808000,0,f,1,1,0,"_","_","Active","_","_","Stream Beat"
929,929,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80008080,0,f,1,1,0,"_","_","Active","_","_","Stream Beat"
930,930,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,1,1,0,"_","_","Active","_","_","Stream Beat"
931,931,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
932,932,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
933,933,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
934,934,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
935,935,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
936,936,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
937,937,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
938,938,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
939,939,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
940,940,0,808000,0,0,7,0,0,0,1,1,808000,0,0,0,0,1,1,80800080,0,f,0,1,0,"_","_","_","_","_","_"
941,941,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
942,942,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
943,943,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
944,944,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
945,945,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
946,946,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
947,947,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
948,948,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
949,949,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
950,950,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
951,951,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,00808000,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
952,952,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80008080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
953,953,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,1,1,1,"Active","Active","Active","Stream Beat","Stream Beat","Last Stream"
954,954,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
955,955,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
956,956,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
957,957,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
958,958,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
959,959,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
960,960,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
961,961,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
962,962,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
963,963,0,8080ff,0,0,7,0,0,1,0,0,8080ff,0,0,0,1,0,0,80800080,0,f,0,1,1,"_","_","_","_","_","_"
964,964,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80800080,0,f,0,1,1,"Active","Active","_","Stream Beat","Stream Beat","_"
965,965,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,ff8080ff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
966,966,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80ff8080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
967,967,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
968,968,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
969,969,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,ff8080ff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
970,970,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80ff8080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
971,971,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
972,972,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
973,973,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,ff8080ff,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
974,974,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,80ff8080,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
975,975,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
976,976,0,8080ff,0,0,7,0,0,1,1,0,8080ff,0,0,0,1,1,0,8080ff80,0,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
